metadataAddress,mintAddress,updateAuthorityAddress,editionNonce,tokenStandard,name,symbol,uri
HQkZjd1vTAGXbKgToyTAfA31sCxRrhytmZKN98mMfKbZ,HpDGBQSLRjbRK7AidfsTMT1dWFzJHLsTSRuG1FHyBZUb,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #301241604,,https://api.stepn.com/run/nftjson/103/311248897
8tJXsHQvXvCyQrzYh2uRJTuVJWQ4hDmYXBY4jzvdLe1j,C4qceMujbGtG71jNqUDjJFXX6xJdFNfmDxzySdUdouE9,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #411541406,,https://api.stepn.com/run/nftjson/103/146261894523
5FoAMP35zVgewrWUByi3T1DTHU1EhH5rjd4hVk38N5rH,A1gdi4uvMrM5v5ksmbcK8YPxsSUp7ZxWz8EDyDCS8EyL,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #752965352,,https://api.stepn.io/run/nftjson/103/24239367521
D3kFonxaHJrQSpbRUMKDKpSPWzjw1GUeG7BNoJAoemiS,HEsDyvQz8xhv69W85x8TtaYDMpDJDZ11gwHnvowpEjFv,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #945407909,,https://api.stepn.io/run/nftjson/103/55613796167
38DdDrvyQrooiitm2YNEp5kN2uUSAekbwjRRR7RE3z3S,GdyX4y9D6RthfAQnru6f6U4Z46hvJ7h1m4PaHuheYDA,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #335530990,,https://api.stepn.com/run/nftjson/103/151241070181
AitvGQss2gvXqTEsBcYMsPTHUBaAXAXUCsgLTAqDonzY,ASRVJqpbfZjfrC5bhKb658EKSTKBj1y8ZN3sF9B1TGUK,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #209420093,,https://api.stepn.com/run/nftjson/103/197581994215
2TrgyNQKiDZX8DqVDJ72XKL5jSymoxcXX183mUzWwixD,5QP6hb4Y1q6jEhjWdLDmYndT9Sb6wkoK9aVuku86L1Cq,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #917795722,,https://api.stepn.io/run/nftjson/103/144762979777
5hNFbtMunXDGQsQphvyJTwg15QZyzduaJoFpTtc3KW2W,DWAxckXvDzBr8HJJFSfh2W7ZPCSf3GrMGJaDQMbjnJZ8,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,253,NonFungible,Sneaker #757580819,,https://api.stepn.com/run/nftjson/103/188891454315
2PLujxZcBXfUwXoymvCgjTFSPYsKFWHe9L9vXaSmQU1B,7wX14YYMoNKVSHLJj768Gfyr5fmtQ1QyeYoGbPjj1STB,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #405424004,,https://api.stepn.com/run/nftjson/103/43522818489
E7k9X6BjbKDZrt8m8abFLGaWAc1ZvxTMTVbwYE98mc7r,6ShMN3xA6iiJrtbUJYsgZG979LC7SWpfosyLmiySkNXN,GH4QhJznKEHHv44AqEH5SUohkUauWyAFtu5u8zUWUKL4,251,,STEPN Shoebox #3996,,https://api.stepn.io/run/nftjson/103/246373312
9KP8aMGM7UzM1Bmzbs7VKcVCXm4hBQ5TbEfLz2Wd8RKE,DfmjAPPwyYA9u7BbcCeHvVaT2TPFxBh8G97D6en8GvTe,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #897293944,,https://api.stepn.com/run/nftjson/103/190880259277
C2x6Mx1jgVxQbyVcXf2uxCBzPodjAMU1FLTLqE6SK4cN,9KPUvqHquAScmqPQQ6j9TChyimvk3PWw88VQWEuVTLvd,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #458121126,,https://api.stepn.com/run/nftjson/103/139332294757
DLMWVdNtNQV79gWQnW3Y2ppPMynutejjHj5XVyZ4oide,CNVAwfSZwwBV3F4kXsakAAJ7YkGFqDYjuQGDSXAZCfNW,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #849554396,,https://api.stepn.com/run/nftjson/103/71865761557
DeM3rQNJESou9eKFVYQtV56szKA8TBTxVtTukPtbAZ2e,CuVNouktRS6j1iPRwqBtqymR8ur8dpoZA5Xo11tsdbRr,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #351480320,,https://api.stepn.com/run/nftjson/103/351479137
C49sHKSsCDBivXNm2c5LuHrm5b77G8eYE6AJHb84FGNX,DepKqTvctcEe52Q5Tzpgrz3KHBw6VW2QykLyi6KQT6eH,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,253,,STEPN Shoebox #203594384,,https://api.stepn.io/run/nftjson/103/203594384
FWVgzNteQiVfBMdrKGcft4LQCS78Z39DTchFkuesqQZs,4UnFqYAiJFQn3PtwSQWfqPJyQKvQHPG4jBbQFGBCHzpE,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #119759144,,https://api.stepn.io/run/nftjson/103/188024278081
